Landkreis;Crop;Variety;A_ha;P_per_A;P_t;Year
Kreisfreie Staedte;Getreide;Roggen;NA;NA;NA;2012
Kreisfreie Staedte;Getreide;Roggen und Wintermenggetreide;NA;39.9;NA;2012
Kreisfreie Staedte;Getreide;Sommergerste;NA;NA;NA;2012
Kreisfreie Staedte;Getreide;Triticale;NA;45.8;NA;2012
Kreisfreie Staedte;Getreide;Weizen zusammen;NA;48.3;NA;2012
Kreisfreie Staedte;Getreide;Wintergerste;NA;43.4;NA;2012
Kreisfreie Staedte;Getreide;Winterweizen einschl. Dinkel;NA;51.8;NA;2012
Kreisfreie Staedte;Hackfruechte;Kartoffeln zusammen;NA;NA;NA;2012
Kreisfreie Staedte;Hackfruechte;mittelfruehe und spaete Kartoffeln;NA;NA;NA;2012
Kreisfreie Staedte;Hackfruechte;Zuckerrueben;NA;NA;NA;2012
Kreisfreie Staedte;Huelsenfruechte;Erbsen;NA;13. Aug;NA;2012
Kreisfreie Staedte;Huelsenfruechte;Lupinen;NA;NA;NA;2012
Kreisfreie Staedte;Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2012
Kreisfreie Staedte;Oelfruechte;Sonnenblumen;NA;11. Jun;NA;2012
Kreisfreie Staedte;Oelfruechte;Winterraps;NA;28. Mrz;NA;2012
Maerkisch-Oderland;Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;NA;57.5;NA;2012
Maerkisch-Oderland;Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;NA;NA;2012
Maerkisch-Oderland;Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;NA;61.5;NA;2012
Maerkisch-Oderland;Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;NA;NA;2012
Maerkisch-Oderland;Futterpflanzen, Dauergruenland, Gruenernte;Silomais;NA;417;NA;2012
Maerkisch-Oderland;Futterpflanzen, Dauergruenland, Gruenernte;Weiden;NA;25. Mrz;NA;2012
Maerkisch-Oderland;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen;NA;37.2;NA;2012
Maerkisch-Oderland;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen und Maehweiden zusammen;NA;NA;NA;2012
Maerkisch-Oderland;Getreide;Brotgetreide zusammen;NA;NA;NA;2012
Maerkisch-Oderland;Getreide;Futter- und Industriegetreide;NA;NA;NA;2012
Maerkisch-Oderland;Getreide;Gerste zusammen;NA;47.4;NA;2012
Maerkisch-Oderland;Getreide;Getreide insgesamt;NA;54.5;NA;2012
Maerkisch-Oderland;Getreide;Getreide zur Ganzpflanzenernte;NA;NA;NA;2012
Maerkisch-Oderland;Getreide;Getreide zusammen (ohne Koernermais und Corn-Cob-Mix);NA;51.9;NA;2012
Maerkisch-Oderland;Getreide;Hafer;NA;39.2;NA;2012
Maerkisch-Oderland;Getreide;Koernermais (einschl. Corn-Cob-Mix);NA;87.6;NA;2012
Maerkisch-Oderland;Getreide;Roggen;NA;NA;NA;2012
Maerkisch-Oderland;Getreide;Roggen und Wintermenggetreide;NA;55.2;NA;2012
Maerkisch-Oderland;Getreide;Sommergerste;NA;48.7;NA;2012
Maerkisch-Oderland;Getreide;Triticale;NA;42.4;NA;2012
Maerkisch-Oderland;Getreide;Weizen zusammen;NA;53.4;NA;2012
Maerkisch-Oderland;Getreide;Wintergerste;NA;47;NA;2012
Maerkisch-Oderland;Getreide;Winterweizen einschl. Dinkel;NA;53.8;NA;2012
Maerkisch-Oderland;Hackfruechte;Kartoffeln zusammen;NA;320.8;NA;2012
Maerkisch-Oderland;Hackfruechte;mittelfruehe und spaete Kartoffeln;NA;NA;NA;2012
Maerkisch-Oderland;Hackfruechte;Zuckerrueben;NA;642.9;NA;2012
Maerkisch-Oderland;Huelsenfruechte;Erbsen;NA;29. Jan;NA;2012
Maerkisch-Oderland;Huelsenfruechte;Lupinen;NA;18. Jul;NA;2012
Maerkisch-Oderland;Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2012
Maerkisch-Oderland;Oelfruechte;Sonnenblumen;NA;20. Apr;NA;2012
Maerkisch-Oderland;Oelfruechte;Winterraps;NA;30.2;NA;2012
Oberhavel;Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;NA;41.6;NA;2012
Oberhavel;Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;NA;NA;2012
Oberhavel;Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;NA;NA;NA;2012
Oberhavel;Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;NA;NA;2012
Oberhavel;Futterpflanzen, Dauergruenland, Gruenernte;Silomais;NA;349.1;NA;2012
Oberhavel;Futterpflanzen, Dauergruenland, Gruenernte;Weiden;NA;52.3;NA;2012
Oberhavel;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen;NA;50.9;NA;2012
Oberhavel;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen und Maehweiden zusammen;NA;NA;NA;2012
Oberhavel;Getreide;Brotgetreide zusammen;NA;NA;NA;2012
Oberhavel;Getreide;Futter- und Industriegetreide;NA;NA;NA;2012
Oberhavel;Getreide;Gerste zusammen;NA;41.2;NA;2012
Oberhavel;Getreide;Getreide insgesamt;NA;45;NA;2012
Oberhavel;Getreide;Getreide zur Ganzpflanzenernte;NA;NA;NA;2012
Oberhavel;Getreide;Getreide zusammen (ohne Koernermais und Corn-Cob-Mix);NA;42.5;NA;2012
Oberhavel;Getreide;Hafer;NA;31.9;NA;2012
Oberhavel;Getreide;Koernermais (einschl. Corn-Cob-Mix);NA;79.3;NA;2012
Oberhavel;Getreide;Roggen;NA;NA;NA;2012
Oberhavel;Getreide;Roggen und Wintermenggetreide;NA;44.3;NA;2012
Oberhavel;Getreide;Sommergerste;NA;42.3;NA;2012
Oberhavel;Getreide;Triticale;NA;39.6;NA;2012
Oberhavel;Getreide;Weizen zusammen;NA;44.2;NA;2012
Oberhavel;Getreide;Wintergerste;NA;40.9;NA;2012
Oberhavel;Getreide;Winterweizen einschl. Dinkel;NA;47.4;NA;2012
Oberhavel;Hackfruechte;Kartoffeln zusammen;NA;NA;NA;2012
Oberhavel;Hackfruechte;mittelfruehe und spaete Kartoffeln;NA;NA;NA;2012
Oberhavel;Hackfruechte;Zuckerrueben;NA;NA;NA;2012
Oberhavel;Huelsenfruechte;Erbsen;NA;12;NA;2012
Oberhavel;Huelsenfruechte;Lupinen;NA;16. Jan;NA;2012
Oberhavel;Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2012
Oberhavel;Oelfruechte;Sonnenblumen;NA;16. Mrz;NA;2012
Oberhavel;Oelfruechte;Winterraps;NA;28. Mai;NA;2012
Oberspreewald-Lausitz;Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;NA;65.1;NA;2012
Oberspreewald-Lausitz;Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;NA;NA;2012
Oberspreewald-Lausitz;Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;NA;58.8;NA;2012
Oberspreewald-Lausitz;Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;NA;NA;2012
Oberspreewald-Lausitz;Futterpflanzen, Dauergruenland, Gruenernte;Silomais;NA;314.5;NA;2012
Oberspreewald-Lausitz;Futterpflanzen, Dauergruenland, Gruenernte;Weiden;NA;43.2;NA;2012
Oberspreewald-Lausitz;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen;NA;49;NA;2012
Oberspreewald-Lausitz;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen und Maehweiden zusammen;NA;NA;NA;2012
Oberspreewald-Lausitz;Getreide;Brotgetreide zusammen;NA;NA;NA;2012
Oberspreewald-Lausitz;Getreide;Futter- und Industriegetreide;NA;NA;NA;2012
Oberspreewald-Lausitz;Getreide;Gerste zusammen;NA;26;NA;2012
Oberspreewald-Lausitz;Getreide;Getreide insgesamt;NA;39.1;NA;2012
Oberspreewald-Lausitz;Getreide;Getreide zur Ganzpflanzenernte;NA;NA;NA;2012
Oberspreewald-Lausitz;Getreide;Getreide zusammen (ohne Koernermais und Corn-Cob-Mix);NA;35.8;NA;2012
Oberspreewald-Lausitz;Getreide;Hafer;NA;NA;NA;2012
Oberspreewald-Lausitz;Getreide;Koernermais (einschl. Corn-Cob-Mix);NA;85;NA;2012
Oberspreewald-Lausitz;Getreide;Roggen;NA;NA;NA;2012
Oberspreewald-Lausitz;Getreide;Roggen und Wintermenggetreide;NA;39.5;NA;2012
Oberspreewald-Lausitz;Getreide;Sommergerste;NA;26;NA;2012
Oberspreewald-Lausitz;Getreide;Triticale;NA;34.2;NA;2012
Oberspreewald-Lausitz;Getreide;Weizen zusammen;NA;30. Aug;NA;2012
Oberspreewald-Lausitz;Getreide;Wintergerste;NA;26;NA;2012
Oberspreewald-Lausitz;Getreide;Winterweizen einschl. Dinkel;NA;30. Jul;NA;2012
Oberspreewald-Lausitz;Hackfruechte;Kartoffeln zusammen;NA;307.5;NA;2012
Oberspreewald-Lausitz;Hackfruechte;mittelfruehe und spaete Kartoffeln;NA;NA;NA;2012
Oberspreewald-Lausitz;Hackfruechte;Zuckerrueben;NA;NA;NA;2012
Oberspreewald-Lausitz;Huelsenfruechte;Erbsen;NA;19. Jun;NA;2012
Oberspreewald-Lausitz;Huelsenfruechte;Lupinen;NA;19. Mrz;NA;2012
Oberspreewald-Lausitz;Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2012
Oberspreewald-Lausitz;Oelfruechte;Sonnenblumen;NA;20. Mai;NA;2012
Oberspreewald-Lausitz;Oelfruechte;Winterraps;NA;19;NA;2012
Oder-Spree;Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;NA;56;NA;2012
Oder-Spree;Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;NA;NA;2012
Oder-Spree;Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;NA;65.8;NA;2012
Oder-Spree;Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;NA;NA;2012
Oder-Spree;Futterpflanzen, Dauergruenland, Gruenernte;Silomais;NA;352.6;NA;2012
Oder-Spree;Futterpflanzen, Dauergruenland, Gruenernte;Weiden;NA;39.2;NA;2012
Oder-Spree;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen;NA;51.6;NA;2012
Oder-Spree;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen und Maehweiden zusammen;NA;NA;NA;2012
Oder-Spree;Getreide;Brotgetreide zusammen;NA;NA;NA;2012
Oder-Spree;Getreide;Futter- und Industriegetreide;NA;NA;NA;2012
Oder-Spree;Getreide;Gerste zusammen;NA;43.1;NA;2012
Oder-Spree;Getreide;Getreide insgesamt;NA;43.5;NA;2012
Oder-Spree;Getreide;Getreide zur Ganzpflanzenernte;NA;NA;NA;2012
Oder-Spree;Getreide;Getreide zusammen (ohne Koernermais und Corn-Cob-Mix);NA;41.8;NA;2012
Oder-Spree;Getreide;Hafer;NA;28. Jan;NA;2012
Oder-Spree;Getreide;Koernermais (einschl. Corn-Cob-Mix);NA;72.4;NA;2012
Oder-Spree;Getreide;Roggen;NA;NA;NA;2012
Oder-Spree;Getreide;Roggen und Wintermenggetreide;NA;40.7;NA;2012
Oder-Spree;Getreide;Sommergerste;NA;48;NA;2012
Oder-Spree;Getreide;Triticale;NA;46.7;NA;2012
Oder-Spree;Getreide;Weizen zusammen;NA;46.2;NA;2012
Oder-Spree;Getreide;Wintergerste;NA;40.7;NA;2012
Oder-Spree;Getreide;Winterweizen einschl. Dinkel;NA;45.3;NA;2012
Oder-Spree;Hackfruechte;Kartoffeln zusammen;NA;NA;NA;2012
Oder-Spree;Hackfruechte;mittelfruehe und spaete Kartoffeln;NA;NA;NA;2012
Oder-Spree;Hackfruechte;Zuckerrueben;NA;NA;NA;2012
Oder-Spree;Huelsenfruechte;Erbsen;NA;24;NA;2012
Oder-Spree;Huelsenfruechte;Lupinen;NA;19. Jul;NA;2012
Oder-Spree;Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2012
Oder-Spree;Oelfruechte;Sonnenblumen;NA;20. Jan;NA;2012
Oder-Spree;Oelfruechte;Winterraps;NA;27. Mrz;NA;2012
Ostprignitz-Ruppin;Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;NA;37.6;NA;2012
Ostprignitz-Ruppin;Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;NA;NA;2012
Ostprignitz-Ruppin;Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;NA;36.7;NA;2012
Ostprignitz-Ruppin;Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;NA;NA;2012
Ostprignitz-Ruppin;Futterpflanzen, Dauergruenland, Gruenernte;Silomais;NA;368.5;NA;2012
Ostprignitz-Ruppin;Futterpflanzen, Dauergruenland, Gruenernte;Weiden;NA;61.1;NA;2012
Ostprignitz-Ruppin;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen;NA;52.1;NA;2012
Ostprignitz-Ruppin;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen und Maehweiden zusammen;NA;NA;NA;2012
Ostprignitz-Ruppin;Getreide;Brotgetreide zusammen;NA;NA;NA;2012
Ostprignitz-Ruppin;Getreide;Futter- und Industriegetreide;NA;NA;NA;2012
Ostprignitz-Ruppin;Getreide;Gerste zusammen;NA;53.9;NA;2012
Ostprignitz-Ruppin;Getreide;Getreide insgesamt;NA;57;NA;2012
Ostprignitz-Ruppin;Getreide;Getreide zur Ganzpflanzenernte;NA;NA;NA;2012
Ostprignitz-Ruppin;Getreide;Getreide zusammen (ohne Koernermais und Corn-Cob-Mix);NA;55.3;NA;2012
Ostprignitz-Ruppin;Getreide;Hafer;NA;36.1;NA;2012
Ostprignitz-Ruppin;Getreide;Koernermais (einschl. Corn-Cob-Mix);NA;77;NA;2012
Ostprignitz-Ruppin;Getreide;Roggen;NA;NA;NA;2012
Ostprignitz-Ruppin;Getreide;Roggen und Wintermenggetreide;NA;53;NA;2012
Ostprignitz-Ruppin;Getreide;Sommergerste;NA;45.8;NA;2012
Ostprignitz-Ruppin;Getreide;Triticale;NA;52.4;NA;2012
Ostprignitz-Ruppin;Getreide;Weizen zusammen;NA;65.9;NA;2012
Ostprignitz-Ruppin;Getreide;Wintergerste;NA;55.7;NA;2012
Ostprignitz-Ruppin;Getreide;Winterweizen einschl. Dinkel;NA;67.1;NA;2012
Ostprignitz-Ruppin;Hackfruechte;Kartoffeln zusammen;NA;383.6;NA;2012
Ostprignitz-Ruppin;Hackfruechte;mittelfruehe und spaete Kartoffeln;NA;NA;NA;2012
Ostprignitz-Ruppin;Hackfruechte;Zuckerrueben;NA;NA;NA;2012
Ostprignitz-Ruppin;Huelsenfruechte;Erbsen;NA;27;NA;2012
Ostprignitz-Ruppin;Huelsenfruechte;Lupinen;NA;14. Aug;NA;2012
Ostprignitz-Ruppin;Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2012
Ostprignitz-Ruppin;Oelfruechte;Sonnenblumen;NA;NA;NA;2012
Ostprignitz-Ruppin;Oelfruechte;Winterraps;NA;35.3;NA;2012
Potsdam-Mittelmark;Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;NA;36.2;NA;2012
Potsdam-Mittelmark;Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;NA;NA;2012
Potsdam-Mittelmark;Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;NA;70.4;NA;2012
Potsdam-Mittelmark;Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;NA;NA;2012
Potsdam-Mittelmark;Futterpflanzen, Dauergruenland, Gruenernte;Silomais;NA;371.9;NA;2012
Potsdam-Mittelmark;Futterpflanzen, Dauergruenland, Gruenernte;Weiden;NA;61.1;NA;2012
Potsdam-Mittelmark;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen;NA;56.8;NA;2012
Potsdam-Mittelmark;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen und Maehweiden zusammen;NA;NA;NA;2012
Potsdam-Mittelmark;Getreide;Brotgetreide zusammen;NA;NA;NA;2012
Potsdam-Mittelmark;Getreide;Futter- und Industriegetreide;NA;NA;NA;2012
Potsdam-Mittelmark;Getreide;Gerste zusammen;NA;60;NA;2012
Potsdam-Mittelmark;Getreide;Getreide insgesamt;NA;52.8;NA;2012
Potsdam-Mittelmark;Getreide;Getreide zur Ganzpflanzenernte;NA;NA;NA;2012
Potsdam-Mittelmark;Getreide;Getreide zusammen (ohne Koernermais und Corn-Cob-Mix);NA;50.9;NA;2012
Potsdam-Mittelmark;Getreide;Hafer;NA;34;NA;2012
Potsdam-Mittelmark;Getreide;Koernermais (einschl. Corn-Cob-Mix);NA;78.3;NA;2012
Potsdam-Mittelmark;Getreide;Roggen;NA;NA;NA;2012
Potsdam-Mittelmark;Getreide;Roggen und Wintermenggetreide;NA;47.8;NA;2012
Potsdam-Mittelmark;Getreide;Sommergerste;NA;30. Mai;NA;2012
Potsdam-Mittelmark;Getreide;Triticale;NA;49.7;NA;2012
Potsdam-Mittelmark;Getreide;Weizen zusammen;NA;61;NA;2012
Potsdam-Mittelmark;Getreide;Wintergerste;NA;63;NA;2012
Potsdam-Mittelmark;Getreide;Winterweizen einschl. Dinkel;NA;61.3;NA;2012
Potsdam-Mittelmark;Hackfruechte;Kartoffeln zusammen;NA;317.1;NA;2012
Potsdam-Mittelmark;Hackfruechte;mittelfruehe und spaete Kartoffeln;NA;NA;NA;2012
Potsdam-Mittelmark;Hackfruechte;Zuckerrueben;NA;NA;NA;2012
Potsdam-Mittelmark;Huelsenfruechte;Erbsen;NA;11. Feb;NA;2012
Potsdam-Mittelmark;Huelsenfruechte;Lupinen;NA;17. Feb;NA;2012
Potsdam-Mittelmark;Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2012
Potsdam-Mittelmark;Oelfruechte;Sonnenblumen;NA;24. Aug;NA;2012
Potsdam-Mittelmark;Oelfruechte;Winterraps;NA;33.7;NA;2012
Potsdam (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;NA;NA;NA;2012
Potsdam (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;NA;NA;2012
Potsdam (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;NA;NA;NA;2012
Potsdam (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;NA;NA;2012
Potsdam (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Silomais;NA;NA;NA;2012
Potsdam (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Weiden;NA;NA;NA;2012
Potsdam (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Wiesen;NA;NA;NA;2012
Potsdam (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Wiesen und Maehweiden zusammen;NA;NA;NA;2012
Potsdam (KfS);Getreide;Brotgetreide zusammen;NA;NA;NA;2012
Potsdam (KfS);Getreide;Futter- und Industriegetreide;NA;NA;NA;2012
Potsdam (KfS);Getreide;Gerste zusammen;NA;NA;NA;2012
Potsdam (KfS);Getreide;Getreide insgesamt;NA;NA;NA;2012
Potsdam (KfS);Getreide;Getreide zur Ganzpflanzenernte;NA;NA;NA;2012
Potsdam (KfS);Getreide;Getreide zusammen (ohne Koernermais und Corn-Cob-Mix);NA;NA;NA;2012
Potsdam (KfS);Getreide;Hafer;NA;NA;NA;2012
Potsdam (KfS);Getreide;Koernermais (einschl. Corn-Cob-Mix);NA;NA;NA;2012
Potsdam (KfS);Getreide;Roggen;NA;NA;NA;2012
Potsdam (KfS);Getreide;Roggen und Wintermenggetreide;NA;NA;NA;2012
Potsdam (KfS);Getreide;Sommergerste;NA;NA;NA;2012
Potsdam (KfS);Getreide;Triticale;NA;NA;NA;2012
Potsdam (KfS);Getreide;Weizen zusammen;NA;NA;NA;2012
Potsdam (KfS);Getreide;Wintergerste;NA;NA;NA;2012
Potsdam (KfS);Getreide;Winterweizen einschl. Dinkel;NA;NA;NA;2012
Potsdam (KfS);Hackfruechte;Kartoffeln zusammen;NA;NA;NA;2012
Potsdam (KfS);Hackfruechte;mittelfruehe und spaete Kartoffeln;NA;NA;NA;2012
Potsdam (KfS);Hackfruechte;Zuckerrueben;NA;NA;NA;2012
Potsdam (KfS);Huelsenfruechte;Erbsen;NA;NA;NA;2012
Potsdam (KfS);Huelsenfruechte;Lupinen;NA;NA;NA;2012
Potsdam (KfS);Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2012
Potsdam (KfS);Oelfruechte;Sonnenblumen;NA;NA;NA;2012
Potsdam (KfS);Oelfruechte;Winterraps;NA;NA;NA;2012
Prignitz;Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;NA;47.2;NA;2012
Prignitz;Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;NA;NA;2012
Prignitz;Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;NA;89.5;NA;2012
Prignitz;Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;NA;NA;2012
Prignitz;Futterpflanzen, Dauergruenland, Gruenernte;Silomais;NA;363.7;NA;2012
Prignitz;Futterpflanzen, Dauergruenland, Gruenernte;Weiden;NA;72.1;NA;2012
Prignitz;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen;NA;42.7;NA;2012
Prignitz;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen und Maehweiden zusammen;NA;NA;NA;2012
Prignitz;Getreide;Brotgetreide zusammen;NA;NA;NA;2012
Prignitz;Getreide;Futter- und Industriegetreide;NA;NA;NA;2012
Prignitz;Getreide;Gerste zusammen;NA;67.9;NA;2012
Prignitz;Getreide;Getreide insgesamt;NA;61.1;NA;2012
Prignitz;Getreide;Getreide zur Ganzpflanzenernte;NA;NA;NA;2012
Prignitz;Getreide;Getreide zusammen (ohne Koernermais und Corn-Cob-Mix);NA;60.4;NA;2012
Prignitz;Getreide;Hafer;NA;31.4;NA;2012
Prignitz;Getreide;Koernermais (einschl. Corn-Cob-Mix);NA;79.7;NA;2012
Prignitz;Getreide;Roggen;NA;NA;NA;2012
Prignitz;Getreide;Roggen und Wintermenggetreide;NA;53;NA;2012
Prignitz;Getreide;Sommergerste;NA;NA;NA;2012
Prignitz;Getreide;Triticale;NA;63.5;NA;2012
Prignitz;Getreide;Weizen zusammen;NA;66.6;NA;2012
Prignitz;Getreide;Wintergerste;NA;69.6;NA;2012
Prignitz;Getreide;Winterweizen einschl. Dinkel;NA;66.8;NA;2012
Prignitz;Hackfruechte;Kartoffeln zusammen;NA;361;NA;2012
Prignitz;Hackfruechte;mittelfruehe und spaete Kartoffeln;NA;NA;NA;2012
Prignitz;Hackfruechte;Zuckerrueben;NA;550.8;NA;2012
Prignitz;Huelsenfruechte;Erbsen;NA;NA;NA;2012
Prignitz;Huelsenfruechte;Lupinen;NA;12. Mrz;NA;2012
Prignitz;Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2012
Prignitz;Oelfruechte;Sonnenblumen;NA;NA;NA;2012
Prignitz;Oelfruechte;Winterraps;NA;35.4;NA;2012
Spree-Neiße;Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;NA;55.6;NA;2012
Spree-Neiße;Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;NA;NA;2012
Spree-Neiße;Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;NA;54.2;NA;2012
Spree-Neiße;Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;NA;NA;2012
Spree-Neiße;Futterpflanzen, Dauergruenland, Gruenernte;Silomais;NA;341;NA;2012
Spree-Neiße;Futterpflanzen, Dauergruenland, Gruenernte;Weiden;NA;55.1;NA;2012
Spree-Neiße;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen;NA;42.7;NA;2012
Spree-Neiße;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen und Maehweiden zusammen;NA;NA;NA;2012
Spree-Neiße;Getreide;Brotgetreide zusammen;NA;NA;NA;2012
Spree-Neiße;Getreide;Futter- und Industriegetreide;NA;NA;NA;2012
Spree-Neiße;Getreide;Gerste zusammen;NA;33.6;NA;2012
Spree-Neiße;Getreide;Getreide insgesamt;NA;38;NA;2012
Spree-Neiße;Getreide;Getreide zur Ganzpflanzenernte;NA;NA;NA;2012
Spree-Neiße;Getreide;Getreide zusammen (ohne Koernermais und Corn-Cob-Mix);NA;34.6;NA;2012
Spree-Neiße;Getreide;Hafer;NA;24. Mrz;NA;2012
Spree-Neiße;Getreide;Koernermais (einschl. Corn-Cob-Mix);NA;81;NA;2012
Spree-Neiße;Getreide;Roggen;NA;NA;NA;2012
Spree-Neiße;Getreide;Roggen und Wintermenggetreide;NA;36.5;NA;2012
Spree-Neiße;Getreide;Sommergerste;NA;36.5;NA;2012
Spree-Neiße;Getreide;Triticale;NA;33.9;NA;2012
Spree-Neiße;Getreide;Weizen zusammen;NA;33.1;NA;2012
Spree-Neiße;Getreide;Wintergerste;NA;31. Mrz;NA;2012
Spree-Neiße;Getreide;Winterweizen einschl. Dinkel;NA;29. Mrz;NA;2012
Spree-Neiße;Hackfruechte;Kartoffeln zusammen;NA;310.5;NA;2012
Spree-Neiße;Hackfruechte;mittelfruehe und spaete Kartoffeln;NA;NA;NA;2012
Spree-Neiße;Hackfruechte;Zuckerrueben;NA;NA;NA;2012
Spree-Neiße;Huelsenfruechte;Erbsen;NA;22. Apr;NA;2012
Spree-Neiße;Huelsenfruechte;Lupinen;NA;18. Mai;NA;2012
Spree-Neiße;Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2012
Spree-Neiße;Oelfruechte;Sonnenblumen;NA;23;NA;2012
Spree-Neiße;Oelfruechte;Winterraps;NA;13;NA;2012
Teltow-Flaeming;Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;NA;49.2;NA;2012
Teltow-Flaeming;Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;NA;NA;2012
Teltow-Flaeming;Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;NA;65.1;NA;2012
Teltow-Flaeming;Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;NA;NA;2012
Teltow-Flaeming;Futterpflanzen, Dauergruenland, Gruenernte;Silomais;NA;351.6;NA;2012
Teltow-Flaeming;Futterpflanzen, Dauergruenland, Gruenernte;Weiden;NA;55.2;NA;2012
Teltow-Flaeming;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen;NA;54;NA;2012
Teltow-Flaeming;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen und Maehweiden zusammen;NA;NA;NA;2012
Teltow-Flaeming;Getreide;Brotgetreide zusammen;NA;NA;NA;2012
Teltow-Flaeming;Getreide;Futter- und Industriegetreide;NA;NA;NA;2012
Teltow-Flaeming;Getreide;Gerste zusammen;NA;50.4;NA;2012
Teltow-Flaeming;Getreide;Getreide insgesamt;NA;48.8;NA;2012
Teltow-Flaeming;Getreide;Getreide zur Ganzpflanzenernte;NA;NA;NA;2012
